SRC,TRG
the zebras near a robin with the zebra with a zebra hoped pres,the zebras near a robin with the zebra with a zebra hope
the chickens near the gentle zebra danced pres,the chickens near the gentle zebra dance
near the badger near the chicken with a humble gentle zebra a gentle clever badger laughed past,near the badger near the chicken with a humble gentle zebra a gentle clever badger laughed
the zebra hoped past,the zebra hoped
a jocular chicken burped past,a jocular chicken burped
a gentle clever robin hoped pres,a gentle clever robin hopes
the gentle chicken laughed pres,the gentle chicken laughs
the badgers laughed pres,the badgers laugh
most gentle chickens laughed pres,most gentle chickens laugh
they burped past,they burped
the chickens coughed past,the chickens coughed
most chickens laughed past,most chickens laughed
the chickens burped pres,the chickens burp
the zebras danced pres,the zebras dance
the clever zebras hoped past,the clever zebras hoped
she danced pres,she dances
the robins near the kindly badger laughed past,the robins near the kindly badger laughed
a zebra hoped past,a zebra hoped
a frog coughed past,a frog coughed
the badgers near the zebra laughed past,the badgers near the zebra laughed
a kindly chicken hoped pres,a kindly chicken hopes
near the zebra the robin burped past,near the zebra the robin burped
the gentle chicken danced pres,the gentle chicken dances
a gentle zebra coughed past,a gentle zebra coughed
with the zebras the zebras danced pres,with the zebras the zebras dance
most badgers near the badgers with a kindly clever zebra laughed past,most badgers near the badgers with a kindly clever zebra laughed
near the zebras the zebras hoped pres,near the zebras the zebras hope
the zebras burped pres,the zebras burp
the dogs hoped pres,the dogs hope
the humble humble zebras laughed past,the humble humble zebras laughed
they danced pres,they dance
the kindly kindly gentle robins coughed pres,the kindly kindly gentle robins cough
near the zebras the frogs danced pres,near the zebras the frogs dance
near most badgers the chickens near the chicken died past,near most badgers the chickens near the chicken died
near them most robins danced past,near them most robins danced
the robins danced past,the robins danced
a dog danced past,a dog danced
the zebra with the dogs died past,the zebra with the dogs died
the lovely chickens danced past,the lovely chickens danced
the robins danced pres,the robins dance
the zebras near a gentle gentle chicken danced pres,the zebras near a gentle gentle chicken dance
the dogs near the zebra near most jocular humble zebras laughed past,the dogs near the zebra near most jocular humble zebras laughed
near the chicken a chicken danced past,near the chicken a chicken danced
a chicken near a chicken hoped pres,a chicken near a chicken hopes
the gentle dogs laughed past,the gentle dogs laughed
the zebras with the badger laughed pres,the zebras with the badger laugh
the jocular humble chicken danced past,the jocular humble chicken danced
she coughed pres,she coughs
near the humble robins the clever lovely robins laughed past,near the humble robins the clever lovely robins laughed
the badgers laughed past,the badgers laughed
they died past,they died
she danced past,she danced
with the zebras they burped pres,with the zebras they burp
most zebras laughed past,most zebras laughed
the robins burped past,the robins burped
with them the dogs near the zebra laughed past,with them the dogs near the zebra laughed
near a chicken a chicken danced pres,near a chicken a chicken dances
a badger danced pres,a badger dances
a dog died past,a dog died
a zebra laughed pres,a zebra laughs
the chickens near most gentle kindly zebras burped past,the chickens near most gentle kindly zebras burped
with the zebras the gentle humble badgers laughed past,with the zebras the gentle humble badgers laughed
near the zebras the jocular zebras coughed past,near the zebras the jocular zebras coughed
most frogs laughed pres,most frogs laugh
with the robin the zebra hoped pres,with the robin the zebra hopes
the dog danced pres,the dog dances
a chicken died pres,a chicken dies
the gentle lovely robin danced pres,the gentle lovely robin dances
a badger laughed past,a badger laughed
the robin danced pres,the robin dances
the robins laughed past,the robins laughed
the chickens with most badgers near most dogs near the badger laughed past,the chickens with most badgers near most dogs near the badger laughed
the robin with the chickens near the chickens near a gentle zebra danced pres,the robin with the chickens near the chickens near a gentle zebra dances
most badgers with her laughed pres,most badgers with her laugh
near the dogs the dogs laughed past,near the dogs the dogs laughed
the chicken near the badger near the lovely frogs burped pres,the chicken near the badger near the lovely frogs burps
they died pres,they die
most gentle dogs danced pres,most gentle dogs dance
the gentle kindly zebras burped pres,the gentle kindly zebras burp
a zebra danced past,a zebra danced
the gentle humble badgers laughed pres,the gentle humble badgers laugh
they laughed pres,they laugh
the chickens danced past,the chickens danced
near her a badger died pres,near her a badger dies
most chickens near the chickens burped past,most chickens near the chickens burped
the gentle zebras danced pres,the gentle zebras dance
the robins near a zebra hoped past,the robins near a zebra hoped
